timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1781945274119,196,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-10,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,196,0,92
1781945274219,156,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-9,text,true,,1471,272,10,11,https://api.clickup.com/api/v2/user,156,0,49
1781945274318,148,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-8,text,true,,1471,272,10,11,https://api.clickup.com/api/v2/user,148,0,44
1781945274413,137,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-7,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,137,0,46
1781945274511,148,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-6,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,148,0,43
1781945274610,159,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-5,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,158,0,51
1781945274714,159,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-4,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,159,0,57
1781945274816,142,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-3,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,142,0,47
1781945274919,143,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-2,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,143,0,47
1781945275016,143,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-1,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,143,0,51
1781945275322,145,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-10,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,145,0,47
1781945275381,129,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-9,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,129,0,45
1781945275472,141,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-8,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,141,0,43
1781945275556,137,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-7,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,137,0,47
1781945275665,131,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-6,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,131,0,44
1781945275775,125,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-5,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,125,0,42
1781945275879,137,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-4,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,137,0,46
1781945275964,144,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-3,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,144,0,56
1781945276065,147,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-2,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,147,0,47
1781945276166,132,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-1,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,132,0,45
1781945276474,161,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-10,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,161,0,79
1781945276516,146,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-9,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,146,0,57
1781945276619,124,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-8,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,124,0,44
1781945276699,129,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-7,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,129,0,43
1781945276802,151,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-6,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,151,0,47
1781945276907,156,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-5,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,156,0,48
1781945277020,145,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-4,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,145,0,44
1781945277114,153,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-3,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,153,0,55
1781945277218,144,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-2,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,144,0,47
1781945277305,141,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-1,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,141,0,48
1781945277641,126,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-10,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,126,0,40
1781945277668,127,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-9,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,127,0,41
1781945277749,152,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-8,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,152,0,48
1781945277834,140,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-7,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,140,0,39
1781945277957,138,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-6,text,true,,1470,272,10,10,https://api.clickup.com/api/v2/user,138,0,43
1781945278066,125,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-5,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,125,0,44
1781945278172,130,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-4,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,130,0,42
1781945278271,140,Get Authorized User,200,OK,jp@gc - Ultimate Thread Group 2-3,text,true,,1471,272,10,10,https://api.clickup.com/api/v2/user,140,0,47
